filename,beta1,beta2,learning_rate,rel_inp_dropout,rel_hid_dropout,rel_hidden_dim,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200615114921,0.0,0.1,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615114938/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615114938/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615114938/test/"" ",0.233,0.4943,0.6071,0.7827,65.117,0.3535,0.0046,0.3336,0.4337,0.6391,129.6918,0.1575,0.2263
C_S_V6_271_5fold_1_20200615114937,0.3,0.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615114953/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615114953/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615114953/test/"" ",0.1139,0.2393,0.3156,0.5141,147.3041,0.1806,0.0273,0.132,0.1847,0.3492,242.7009,0.0845,0.4629
C_S_V6_271_5fold_1_20200615115021,0.0,0.3,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115039/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115039/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115039/test/"" ",0.2278,0.4974,0.6092,0.7879,63.7095,0.3556,0.0013,0.3511,0.4649,0.6775,118.3875,0.1664,0.0052
C_S_V6_271_5fold_1_20200615115037,0.3,0.1,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115055/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115055/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115055/test/"" ",0.1735,0.3417,0.4274,0.6562,102.0543,0.2595,0.0137,0.1151,0.1704,0.3654,238.6795,0.0717,0.4785
C_S_V6_271_5fold_1_20200615115121,0.0,0.5,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115140/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115140/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115140/test/"" ",0.2247,0.4807,0.5684,0.7722,69.0084,0.3416,0.0013,0.3674,0.4681,0.671,124.4837,0.1723,0.0
C_S_V6_271_5fold_1_20200615115137,0.3,0.3,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115157/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115157/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115157/test/"" ",0.1829,0.3939,0.4723,0.7011,89.0951,0.2837,0.0156,0.1183,0.1912,0.3719,244.1749,0.0748,0.5202
C_S_V6_271_5fold_1_20200615120905,0.9,0.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615120927/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615120927/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615120927/test/"" ",0.162,0.3511,0.4441,0.6426,102.977,0.2519,0.0156,0.0676,0.1099,0.29,267.8511,0.0513,0.5332
C_S_V6_271_5fold_1_20200615151116,0.3,0.7,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151133/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151133/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151133/test/"" ",0.1557,0.3459,0.441,0.7158,84.4953,0.2517,0.0137,0.106,0.1593,0.3498,252.5572,0.0659,0.5293
C_S_V6_271_5fold_1_20200615151207,0.0,0.7,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151224/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151224/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151224/test/"" ",0.2372,0.4796,0.5925,0.7837,69.2027,0.3508,0.0013,0.3667,0.4662,0.6528,122.6274,0.1707,0.0039
C_S_V6_271_5fold_1_20200615151216,0.3,0.9,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151232/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151232/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151232/test/"" ",0.0888,0.2278,0.3281,0.5716,120.1902,0.1673,0.0111,0.1047,0.1593,0.3296,265.0546,0.0623,0.5124
