filename,beta1,beta2,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V7_271_5fold_1_20200621185606,0.9,0.9,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185613/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185613/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185613/test/"" ",0.207,0.3658,0.4188,0.5427,181.639,0.2836,0.016,0.2763,0.3545,0.5481,165.3788,0.1417,0.6449
C_S_V7_271_5fold_1_20200621185758,0.7,0.23,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185805/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185805/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185805/test/"" ",0.2142,0.3538,0.4152,0.5162,176.6643,0.2824,0.0192,0.284,0.3615,0.5532,164.2353,0.1433,0.6436
C_S_V7_271_5fold_1_20200621185858,0.8,0.27,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185905/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185905/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621185905/test/"" ",0.2142,0.361,0.4272,0.5367,183.8195,0.2837,0.0167,0.2769,0.3609,0.5526,164.6923,0.1396,0.659
C_S_V7_271_5fold_1_20200621185958,0.9,0.3,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621190005/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621190005/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621190005/test/"" ",0.2154,0.3646,0.4224,0.5608,173.142,0.2859,0.0186,0.2801,0.359,0.5551,166.241,0.142,0.6462
C_S_V7_271_5fold_1_20200621193936,1.0,3.0,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621193942/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621193942/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621193942/test/"" ",0.207,0.3658,0.4224,0.5259,174.5897,0.2805,0.0173,0.2692,0.3558,0.5429,172.8564,0.1392,0.6859
C_S_V7_271_5fold_1_20200621194144,1.0,1.0,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194150/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194150/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194150/test/"" ",0.2226,0.373,0.4272,0.5367,173.2972,0.2928,0.0199,0.2744,0.3577,0.55,169.9096,0.1423,0.6205
C_S_V7_271_5fold_1_20200621194244,0.1,0.05,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194251/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194251/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194251/test/"" ",0.2142,0.3574,0.4103,0.5187,186.5187,0.281,0.016,0.2712,0.359,0.5429,167.9058,0.1408,0.6513
C_S_V7_271_5fold_1_20200621194344,0.2,0.1,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194350/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194350/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621194350/test/"" ",0.2118,0.367,0.4152,0.5235,173.154,0.2858,0.0186,0.2673,0.359,0.5571,157.6686,0.1411,0.6269
C_S_V7_271_5fold_1_20200621195204,1.0,0.33,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195210/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195210/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195210/test/"" ",0.2202,0.3755,0.4308,0.5451,173.6017,0.2929,0.0141,0.2756,0.3641,0.5545,162.4321,0.1396,0.6577
C_S_V7_271_5fold_1_20200621195304,0.1,0.2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195310/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195310/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195310/test/"" ",0.2022,0.3574,0.4212,0.5403,182.568,0.2757,0.0147,0.2744,0.3526,0.5487,175.041,0.1388,0.6679
C_S_V7_271_5fold_1_20200621195404,0.2,0.4,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195410/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195410/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621195410/test/"" ",0.2082,0.3598,0.4236,0.5259,184.0794,0.2789,0.0186,0.2737,0.3647,0.5545,167.9776,0.1431,0.6808
C_S_V7_271_5fold_1_20200621202506,0.3,0.15,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202512/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202512/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202512/test/"" ",0.201,0.3815,0.4272,0.5319,185.935,0.2821,0.0218,0.2724,0.3615,0.5545,165.859,0.1431,0.6295
C_S_V7_271_5fold_1_20200621202606,0.4,0.2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202613/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202613/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202613/test/"" ",0.219,0.3574,0.4272,0.5511,177.9446,0.2857,0.0167,0.2801,0.3603,0.5526,161.1231,0.1422,0.6385
C_S_V7_271_5fold_1_20200621202706,0.5,0.25,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202714/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202714/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621202714/test/"" ",0.2154,0.3755,0.4079,0.5235,188.2443,0.2855,0.016,0.275,0.3647,0.5519,170.2231,0.14,0.6628
C_S_V7_271_5fold_1_20200621204430,0.3,0.6,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204437/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204437/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204437/test/"" ",0.2058,0.3369,0.3935,0.5174,190.7545,0.2712,0.0179,0.2699,0.3583,0.5506,162.0974,0.1406,0.6731
C_S_V7_271_5fold_1_20200621204530,0.4,0.8,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204537/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204537/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204537/test/"" ",0.207,0.3574,0.4152,0.5343,184.6282,0.2766,0.0173,0.275,0.3647,0.5481,167.3936,0.1421,0.6513
C_S_V7_271_5fold_1_20200621204630,0.5,1.0,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204638/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204638/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621204638/test/"" ",0.2238,0.373,0.4176,0.5199,180.7377,0.2924,0.0167,0.275,0.3615,0.5571,165.0808,0.1408,0.6372
C_S_V7_271_5fold_1_20200621211025,0.6,0.3,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211032/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211032/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211032/test/"" ",0.219,0.3658,0.4188,0.5211,188.142,0.286,0.0179,0.2744,0.3609,0.5571,164.7006,0.1415,0.6513
C_S_V7_271_5fold_1_20200621211125,0.7,0.35,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211132/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211132/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211132/test/"" ",0.2034,0.3574,0.4152,0.5343,175.1396,0.277,0.0179,0.2782,0.3583,0.5494,164.5904,0.1412,0.6487
C_S_V7_271_5fold_1_20200621211225,0.8,0.4,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211232/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211232/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621211232/test/"" ",0.2106,0.3646,0.4236,0.5295,177.5451,0.2814,0.0167,0.2737,0.3494,0.5494,168.1737,0.1406,0.6551
C_S_V7_271_5fold_1_20200621213651,0.6,1.2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621213657/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621213657/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621213657/test/"" ",0.207,0.3646,0.426,0.5391,178.9651,0.282,0.0179,0.2744,0.3628,0.5391,176.1987,0.142,0.6718
C_S_V7_271_5fold_1_20200621213851,0.8,1.6,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621213858/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621213858/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621213858/test/"" ",0.207,0.3598,0.4224,0.5403,167.5788,0.2825,0.0199,0.2821,0.3622,0.5538,173.5436,0.1444,0.6449
