filename,beta1,beta2,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200616055000,0.03,0.05,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055015/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055015/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055015/test/"" ",0.1254,0.2571,0.3051,0.4995,138.8474,0.1921,0.0397,0.1918,0.2497,0.3849,229.5696,0.1189,0.2913
C_S_V6_271_5fold_1_20200616055051,0.07,0.07,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055107/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055107/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055107/test/"" ",0.1066,0.2111,0.2696,0.4869,132.372,0.1651,0.0436,0.1957,0.2458,0.407,231.6599,0.1179,0.3329
C_S_V6_271_5fold_1_20200616055100,0.03,0.07,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055116/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055116/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055116/test/"" ",0.092,0.2268,0.28,0.4504,150.4222,0.1587,0.0481,0.184,0.2328,0.3914,227.3843,0.1172,0.238
C_S_V6_271_5fold_1_20200616055151,0.07,0.08,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055209/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055209/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055209/test/"" ",0.1014,0.2059,0.2633,0.4775,139.5758,0.1596,0.039,0.1931,0.2458,0.4038,240.4187,0.1149,0.29
C_S_V6_271_5fold_1_20200616055252,0.08,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055309/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055309/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055309/test/"" ",0.0836,0.1682,0.2069,0.3584,198.1776,0.1284,0.0364,0.158,0.2113,0.3771,245.119,0.1027,0.3082
C_S_V6_271_5fold_1_20200616055352,0.08,0.03,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055410/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055410/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616055410/test/"" ",0.0815,0.1891,0.2466,0.4922,151.348,0.1412,0.0364,0.1638,0.2276,0.4012,228.2425,0.104,0.3264
C_S_V6_271_5fold_1_20200616084317,0.08,0.05,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084332/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084332/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084332/test/"" ",0.1233,0.2529,0.3103,0.5204,135.5935,0.188,0.0358,0.1684,0.2243,0.3791,235.868,0.1057,0.3329
C_S_V6_271_5fold_1_20200616084348,0.03,0.08,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084402/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084402/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084402/test/"" ",0.0972,0.2194,0.2874,0.4713,134.4911,0.1611,0.039,0.1834,0.2315,0.3713,236.959,0.1109,0.2172
C_S_V6_271_5fold_1_20200616084417,0.08,0.07,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084432/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084432/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084432/test/"" ",0.1097,0.2184,0.2811,0.4984,128.2978,0.1697,0.0403,0.1736,0.2295,0.4298,224.6268,0.1108,0.329
C_S_V6_271_5fold_1_20200616084517,0.08,0.08,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084533/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084533/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616084533/test/"" ",0.1327,0.2414,0.3083,0.5319,129.3041,0.1961,0.0384,0.1892,0.2471,0.4077,223.5514,0.1147,0.3511
